nome, nels, runtime, bandwidth
sorting_counting_HALF.csv, 1024, 0.082176, 3.07102
sorting_counting_HALF.csv, 2048, 0.129696, 4.7474
sorting_counting_HALF.csv, 4096, 0.14784, 10.5567
sorting_counting_HALF.csv, 8192, 0.217632, 17.199
sorting_counting_HALF.csv, 65536, 1.40762, 34.7881
sorting_counting_HALF.csv, 66560, 1.57174, 34.4053
sorting_counting_HALF.csv, 524288, 18.8145, 30.5654
sorting_counting_HALF.csv, 1048576, 43.5232, 29.6754
sorting_counting_HALF.csv, 2097152, 106.898, 26.9282
sorting_counting_HALF.csv, 3145728, 190.705, 24.6423
sorting_counting_HALF.csv, 4194304, 258.787, 24.6317
sorting_counting_HALF.csv, 8388608, 693.605, 20.242
sorting_counting_HALF.csv, 16777216, 2223.6, 13.8759
sorting_counting_HALF.csv, 33554432, 7667.54, 8.79598
sorting_counting_HALF.csv, 67108864, 23997, 6.12509
