QueryID,numnodesQuery,numedgesQuery,numnodesTarget,numedgesTarget,matchNumber,tNum_occtTime (secs),spippate,algoritmo
110001100000010,4,5,23000,2673133,0,24.854,0,RI
10100101001000,4,5,23000,2673133,0,24.55,1,RI
110001100000010,4,5,10000,204369,0,0.554,2,RI
10100101001000,4,5,10000,204369,0,0.59,3,RI
110001100000010,4,5,2000,39264,8296,0.279,4,RI
10100101001000,4,5,2000,39264,47563,4.207,5,RI
110001100000010,4,5,63731,1269502,28734,5.441,6,RI
10100101001000,4,5,63731,1269502,0,4.274,7,RI
110001100000010,4,5,11500,415912,203952,0.81,8,RI
10100101001000,4,5,11500,415912,80467,0.711,9,RI
110001100000010,4,5,42390,1,0,0.02,10,RI
10100101001000,4,5,42390,1,0,0.003,11,RI
110001100000010,4,5,101000,0,0,0.038,12,RI
10100101001000,4,5,101000,0,0,0.003,13,RI
110001100000010,4,5,403,70261,131547,0.648,14,RI
10100101001000,4,5,403,70261,25822,0.505,15,RI
110001100000010,4,5,28200,4596803,0,31.03,16,RI
10100101001000,4,5,28200,4596803,0,31.019,17,RI
110001100000010,4,5,219,1283194,7256239,58.021,18,RI
10100101001000,4,5,219,1283194,0,0.119,19,RI
110001100000010,4,5,899,33720,0,0.151,20,RI
10100101001000,4,5,899,33720,0,0.066,21,RI
110001100000010,4,5,88000,1148072,2231,1.887,22,RI
10100101001000,4,5,88000,1148072,1718,19.154,23,RI
110001100000010,4,5,132000,841372,0,5.693,24,RI
10100101001000,4,5,132000,841372,0,5.439,25,RI
110001100000010,4,5,23000,2673133,0,57.1642,24.854,altro
10100101001000,4,5,23000,2673133,0,49.1,24.55,altro
110001100000010,4,5,10000,204369,0,43.13,0.554,altro
10100101001000,4,5,10000,204369,0,11.564,0.59,altro
110001100000010,4,5,2000,39264,8296,14.213,0.279,altro
10100101001000,4,5,2000,39264,47563,8.12342,4.207,altro
110001100000010,4,5,63731,1269502,28734,9.7938,5.441,altro
10100101001000,4,5,63731,1269502,0,10.685,4.274,altro
110001100000010,4,5,11500,415912,203952,5.634,0.81,altro
10100101001000,4,5,11500,415912,80467,1.6353,0.711,altro
110001100000010,4,5,42390,1,0,3.13,0.02,altro
10100101001000,4,5,42390,1,0,3.23,0.003,altro
110001100000010,4,5,101000,0,0,2.13,0.038,altro
10100101001000,4,5,101000,0,0,2.34,0.003,altro
110001100000010,4,5,403,70261,131547,1.62,0.648,altro
10100101001000,4,5,403,70261,25822,1.1615,0.505,altro
110001100000010,4,5,28200,4596803,0,170.665,31.03,altro
10100101001000,4,5,28200,4596803,0,123.1233,31.019,altro
110001100000010,4,5,219,1283194,7256239,294.13425,58.021,altro
10100101001000,4,5,219,1283194,0,0.2737,0.119,altro
110001100000010,4,5,899,33720,0,0.3473,0.151,altro
10100101001000,4,5,899,33720,0,0.1518,0.066,altro
110001100000010,4,5,88000,1148072,2231,11.8881,1.887,altro
10100101001000,4,5,88000,1148072,1718,68.1084,19.154,altro
110001100000010,4,5,132000,841372,0,14.1254,5.693,altro
10100101001000,4,5,132000,841372,0,9.7902,5.439,altro
